3000,3101
3001,3082
3002,3102
3003,3103
3004,3104
3005,3083
3006,3084
3008,3105
3010,3106
3011,3107
3012,3108
3013,3109
3019,3085
3031,3111
3032,3113
3039,3114
3040,3087
3041,3088
3044,3124
3050,3125
3051,3136
3052,3086
3053,3126
3054,3127
3055,3128
3056,3129
3057,3130
3058,3131
3065,3132
3066,3133
3067,3134
3068,3135
3070,3195
3071,3202
3072,3204
3078,3800
3121,3175
3141,3073
3181,3148
3182,3149
3205,3150
3206,3151
3207,3152
3193,3156
3183,3094
3122,3194
3123,3093
3142,3095
3143,3166
3144,3167
3145,3168
3146,3169
3147,3170
3161,3171
3162,3172
3163,3173
3165,3174
3183,3178
3184,3179
3185,3180
3186,3079
3187,3081
3188,3192
3189,
3190,
3191,
